"","LOCATIONS","STATE","WATERTYPE","TEMPERATURE(c)","pH","CONDUCTIVITY(µmhos/cm)","B.O.D(mg/l)","NITRATE","FECALCOLIFORM(MPN/100ml)","TOTALCOLIFORM(MPN/100ml)","YEAR","nTemp","npH","nCon","nBod","nNit","nColi","WTemp","Wph","WBod","WCon","WNit","WColi","WQI","predictWQI"
"1347","BARAK RIVER AT D/S OF SILCHAR","ASSAM","RIVERWATER",21,6.6,51,0.6,0.1,730,2000,2015,60,100,100,100,100,40,10.2,17,13,8.6,22,8.8,79.6,79.5483500245865
"1348","RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM","GOA","RIVERWATER",29.3,6.8,121,1.7,0.4,18134.3000000001,50000,2014,40,100,80,100,100,0,6.8,17,13,6.88,22,0,65.68,60.3226476082205
"1349","WAINGANGA AFTER CONLUENCE WITH KANHAN","MAHARASHTRA","RIVERWATER",24,7.7,336,6.7,1.7,170,683,2007,60,100,0,60,100,40,10.2,17,7.8,0,22,8.8,65.8,74.8447713294443
"1350","DAHA RIVER AT MEERGANJ","BIHAR","RIVERWATER",25.2,7.2,289,5.3,0,1182,3033,2014,40,100,40,80,100,40,6.8,17,10.4,3.44,22,8.8,68.44,74.4580745449751
"1351","CAUVERY AT KRS DAM, BALAMURIKSHETRA","KARNATAKA","RIVERWATER",26,8.1,217,1.2,0.28,1258,1525,2012,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,73.619738725642
"1352","CAUVERY AT SRI RANGAPATTANNA,D/S OF ROAD BDG.,KARNATAKA","KARNATAKA","RIVERWATER",26.8,8,273,2.3,0.3,1079,4150,2014,40,100,40,100,100,40,6.8,17,13,3.44,22,8.8,71.04,72.2939418475159
"1353","KOSHI AT MADHEPURA","BIHAR","RIVERWATER",14,7.2,116,2,0,800,2400,2016,100,100,80,100,100,40,17,17,13,6.88,22,8.8,84.68,83.4614069210684
"1354","D/S DAHA RIVER AT SASAMUSA","BIHAR","RIVERWATER",21,7.8,410,3,1.12,1567,2800,2010,60,100,0,100,100,40,10.2,17,13,0,22,8.8,71,77.0296185461863
"1355","GOMTI AT SITAPUR U/S AT WATER INTAKE","UTTARPRADESH","RIVERWATER",17,7.5,180,2.3,1,68,200,2016,80,100,60,100,100,60,13.6,17,13,5.16,22,13.2,83.96,81.2535278957113
"1356","B/W  -NEAR CKM COLLEGE , ENUMAMULA (V) ,WARANGAL ","ANDHRAPRADESH","GROUNDWATER",30,7.05,3380,0.5,14.1,55,170,2009,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,71.5183753524573
"1357","JAGATPUR INDUSTRIAL AREA, CUTTACK ORISSA","ORISSA","GROUNDWATER",31,7.2,445,0.5,3,13,16,2013,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,71.591657785526
"1358","PALLERU BEFORE CONFL. WITH KRISHNA, JAGGAYYAPET, A.P.","ANDHRAPRADESH","RIVERWATER",19.7,8.1,997,0.5,0.57,2,1333,2013,80,100,0,100,100,40,13.6,17,13,0,22,8.8,74.4,78.3554518781769
"1359","SAVITRI JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD","MAHARASHTRA","RIVERWATER",30,7.7,307,2.8,3.6,4,123,2012,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,71.1202718350955
"1360","D/S OF RUPNARAYAN AT KOLAGHAT, NEAR KOLAGHAT RAIL BRIDGE NO.3","WEST BENGAL","RIVERWATER",27.6,7.7,901,2,0.31,18134.3000000001,50000,2011,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8,60.127533725929
"1361","PERUVAMBA AT CHANDAPPURA","KERALA","RIVERWATER",28.1,6,55,0.5,0.25,590,910,2010,40,80,100,100,100,40,6.8,13.6,13,8.6,22,8.8,72.8,75.5076708779984
"1362","GANGA AT BITHOOR (KANPUR), U.P.","UTTARPRADESH","RIVERWATER",23.8,8.13,433,3.3,0.93,0.22,4000,2006,60,100,0,80,100,40,10.2,17,10.4,0,22,8.8,68.4,74.1186797105975
"1363","HAMSALA DEEVI , GUNTUR ","ANDHRAPRADESH","RIVERWATER",30,7.5,6804,1.5,0.25,5,1892,2010,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,70.9445277424321
"1364","GODAVARI AT PANCHAVATI AT RAMKUND,MAHARASHTRA","MAHARASHTRA","RIVERWATER",26.3,7.7,385,3.8,1,110,292,2013,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,73.8041279881129
"1365","BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS","MEGHALAYA","RIVERWATER",25.5,7.5,119,2.3,3.8,33,74,2014,40,100,80,100,100,60,6.8,17,13,6.88,22,13.2,78.88,74.833279787974
"1366","LAKSHMANTIRTHA AT D/S
OF KATTEMALAVADI, KARNATAKA","KARNATAKA","RIVERWATER",23,7,186,1,0.2,330,1400,2015,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16,77.5484727518841
"1367","WAINGANGA AT BALAGHAT, M.P.","MADHYAPRADESH","RIVERWATER",22,7.2,226,1.4,0.3,23,17,2015,60,100,40,100,100,80,10.2,17,13,3.44,22,17.6,83.24,78.2695208853016
"1368","PUBLIC HAND PUMP BEFORE SANGANER PULIA, RAJASTHAN","RAJASTHAN","GROUNDWATER",26,7.5,1490,0.7,0.37,3,8,2007,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,74.9024866206367
"1369","MANJEERA NR GANAPATHI SUGARS ","ANDHRAPRADESH","RIVERWATER",26.8,8.1,421,2.2,0.72,26,186,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,73.161851718532
"1370","HAND PUMP AT SHIMLA","HIMACHALPRADESH","GROUNDWATER",10.3,7.9,248,0.35,0.03,6,14,2012,100,100,40,100,100,80,17,17,13,3.44,22,17.6,90.04,86.0427796592966
"1371","BOREWELL AT PIRAMAL GLASS, VILLAGE TARSADI AT KOS","GUJARAT","GROUNDWATER",26,7.3,3883,1,0,2,5,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,75.0018587298833
"1372","HAND PUMP NEAR SECONDARY SCHOOL ABOUT 300mt. FROM KANSUA NALLAH KOTA","RAJASTHAN","GROUNDWATER",26.3,8.5,1685,0.87,4.37,3,4,2011,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,72.863554592444
"1373","SARYU AT AYODHYA AT MAIN BATHING GHAT, U.P.","UTTARPRADESH","RIVERWATER",17,7.7,177,2.5,0.7,18134.3000000001,50000,2015,80,100,60,100,100,0,13.6,17,13,5.16,22,0,70.76,67.8734026826038
"1374","KADALUNDY AT THIRURANGADY","KERALA","RIVERWATER",28.4,7,94,1.1,0.13,183,370,2011,40,100,80,100,100,60,6.8,17,13,6.88,22,13.2,78.88,73.8353973907097
"1375","SHIMLA D/S OF MSW DUMPING SIOT","HIMACHALPRADESH","GROUNDWATER",11,7.5,381,10,10,170,386,2013,100,100,0,60,100,60,17,17,7.8,0,22,13.2,77,83.6354698010822
"1376","WELL AT PILERNE INDUSTRIAL ESTATE(M/S
UNICHEM )","GOA","GROUNDWATER",28,7,258,0.8,0,23,1.8,2015,40,100,40,100,100,100,6.8,17,13,3.44,22,22,84.24,74.2761299751214
"1377","BRAHAMPUTRA AT NIMATIGHAT, ASSAM","ASSAM","RIVERWATER",22.9,7.1,172,1.7,1.95,360,1270,2013,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16,77.2628937583251
"1378","*(JORHAT, ASSAM","ASSAM","GROUNDWATER",23,7.2,229,1,0.7,455,880,2007,60,100,40,100,100,40,10.2,17,13,3.44,22,8.8,74.44,77.3478411205623
"1379","MSW SITE, TALOJA, RAIGAD","MAHARASHTRA","GROUNDWATER",24,7.1,173.6,4.6,1.1,120,350,2016,60,100,60,80,100,60,10.2,17,10.4,5.16,22,13.2,77.96,76.2484415891208
"1380","SABARMATI AT KHEROJ BRIDGE, ","GUJARAT","RIVERWATER",29,8.2,425,2.5,0.59,1592,3452,2010,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,70.4915309682588
"1381","D/S OF VINDYADHARI RIVER AT MALANCHA BURNING GHAT","WEST BENGAL","RIVERWATER",26.6,7.6,8828,8.2,3,18134.3000000001,50000,2013,40,100,0,60,100,0,6.8,17,7.8,0,22,0,53.6,59.1679722790403
"1382","ULHAS AT U/S OF BADLAPUR, MAHARASHTRA","MAHARASHTRA","RIVERWATER",29,7.7,120,3.9,0.37,207,280,2009,40,100,80,80,100,60,6.8,17,10.4,6.88,22,13.2,76.28,71.8646313546891
"1383","INDRAYANI RIVER AT D/S OF MOSHIGAON, HAWELI, PUNE","MAHARASHTRA","RIVERWATER",25.1,7.9,418,7,3.4,246,1613,2014,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4,73.3139649141459
"1384","KHAN AT KABIT KHEDI (NEAR INDORE) ","MADHYAPRADESH","RIVERWATER",29,7.7,2138,63.5,5.64,46,1600,2010,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4,60.6172992936098
"1385","MAHANADI AT SAMBALPUR FD/S AT
HUMA","ORISSA","RIVERWATER",25,7.6,165,0.8,0.4,490,1300,2015,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16,75.2274279466302
"1386","B/W. - PANCHAYAT OFFICE ,,BOLLARAM (V) MEDAK DIST., A.P","ANDHRAPRADESH","GROUNDWATER",30,6.91,4980,0.9,32,3,100,2006,40,100,0,100,80,60,6.8,17,13,0,17.6,13.2,67.6,70.3017548891131
"1387","NEAR SHREE KALYANESHWAR MAHADEV TEMPLE, JAI SINGH PURA
KHURD, JAIPUR.","RAJASTHAN","GROUNDWATER",27,7.2,830,0.7,5.6,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,74.2958118473256
"1388","KALONG RIVER AT U/S OF ANANDARAM DEKIAL PHUKAN BRIDGE, NAGAON","ASSAM","RIVERWATER",26.5,6.9,240,1.7,1.5,18134.3000000001,50000,2014,40,100,40,100,100,0,6.8,17,13,3.44,22,0,62.24,62.1497011571642
"1389","BARAK RIVER AT D/S OF SILCHAR","ASSAM","RIVERWATER",12,7.1,148,1.83,0.1,0,1170,2008,100,100,80,100,100,40,17,17,13,6.88,22,8.8,84.68,85.4269969219814
"1390","RILANG RIVER AT MAWKYRWAT, WEST KHASI HILLS","MEGHALAYA","RIVERWATER",19.6,7.2,50,1.6,2,19,36,2014,80,100,100,100,100,80,13.6,17,13,8.6,22,17.6,91.8,79.8907906344701
"1391","D/S OF KARAKAVAGU AT PALONCHA, KHAMMAM","ANDHRAPRADESH","RIVERWATER",20,7,446,2,0,5,2,2015,80,100,0,100,100,100,13.6,17,13,0,22,22,87.6,79.9459892041857
"1392","GANGA AT PUNPUN, PATNA","BIHAR","RIVERWATER",24.7,7.7,452,2.5,0,1382,50000,2014,60,100,0,100,100,0,10.2,17,13,0,22,0,62.2,62.2309370370956
"1393","SHRI GIRDHARI SINGH CHOUDHARY NEAR BAI RIVER BRIDGE, PALI BYE PASS ROAD, PALI, RAJASTHAN","RAJASTHAN","GROUNDWATER",25,8,5700,3.2,4,3,3,2015,60,100,0,80,100,100,10.2,17,10.4,0,22,22,81.6,73.8965821934457
"1394","KRISHNA A/C WITH TUNGABHADRA, SANGAMESHWARAM A.P.","ANDHRAPRADESH","RIVERWATER",26.9,7.9,466,2.7,1.11,130,1074,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,73.0361939357416
"1395","GODAVARI  AT MANCHERIAL, NR RLY BDG B/C OF RALLAVAGU","ANDHRAPRADESH","RIVERWATER",29,8.3,528,7,0.22,131,517,2012,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4,70.3467877117551
"1396","DAHA AT SIWAN","BIHAR","RIVERWATER",15,7.1,275,2.4,0,1100,2800,2016,100,100,40,100,100,40,17,17,13,3.44,22,8.8,81.24,82.6880207434579
"1397","WELL AT KUYYURA","ANDHRAPRADESH","GROUNDWATER",29,6.3,198,0.9,0.21,2,110,2010,40,80,60,100,100,60,6.8,13.6,13,5.16,22,13.2,73.76,74.52917880959
"1398","GANGA AT GARDEN REACH ","WEST BENGAL","RIVERWATER",26.7,8.1,281,2.6,0.14,18134.3000000001,50000,2009,40,100,40,100,100,0,6.8,17,13,3.44,22,0,62.24,60.1453184382965
"1399","WATER INTAKE POINT FOR SURI TOWN ON RIVER MAYURAKSHI","WEST BENGAL","RIVERWATER",22,7.3,126,1.3,0.2,400,400,2015,60,100,80,100,100,60,10.2,17,13,6.88,22,13.2,82.28,78.0513346735778
"1400","WELL KOTHI IN VILLAGE BAGAR RAJPUT, ALWAR, ","RAJASTHAN","GROUNDWATER",31,7.7,1380,0.5,0.78,3,6,2010,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,70.9353170291803
"1401","R KUPPAM AT RAYAROM","KERALA","RIVERWATER",27,6.4,59,0.9,0.13,178,275,2009,40,80,100,100,100,60,6.8,13.6,13,8.6,22,13.2,77.2,75.8253661912737
"1402","MAHANANDA AT SILIGURI","WEST BENGAL","RIVERWATER",29,7.4,162,1.3,0.1,18134.3000000001,50000,2007,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,59.7349806997308
"1403","SATLUJ D/S KIRATPUR SAHIB","PUNJAB","RIVERWATER",15,7.7,213,0.6,0.6,150,350,2016,100,100,60,100,100,60,17,17,13,5.16,22,13.2,87.36,82.7104164364505
"1404","BHADRA AT U/S OF KIOCL, KARNATAKA","KARNATAKA","RIVERWATER",24.4,7.3,157,1,0.07,460,1600,2011,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16,76.0278051584253
"1405","SATLUJ AT BRIDGE HARIKE, AMRITSAR","PUNJAB","RIVERWATER",12,7,262,2.4,1.8,170,430,2016,100,100,40,100,100,60,17,17,13,3.44,22,13.2,85.64,85.5434976305283
"1406","MANDI-D/S OF MSW DUMPING SITE","HIMACHALPRADESH","GROUNDWATER",18,7.7,257,4.8,1.17,920,2400,2012,80,100,40,80,100,40,13.6,17,10.4,3.44,22,8.8,75.24,79.1877329212096
"1407","WAINGANGA AFTER CONLUENCE WITH KANHAN","MAHARASHTRA","RIVERWATER",23,7.89,439,9.1,2.76,0.6,113,2006,60,100,0,60,100,60,10.2,17,7.8,0,22,13.2,70.2,74.9469176760651
"1408","BOREWELL AT GODHRA","GUJARAT","GROUNDWATER",27,7.4,1417,1.9,1.04,4,12,2007,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,74.0634056453782
"1409","PENNAR AFTER CONF. WITH PAPAGNI,PUSPAGINI,A.P.","ANDHRAPRADESH","RIVERWATER",26,7.65,956,2.4,4.81,423,50000,2006,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8,60.9907833273655
"1410","ZUARI AT PANCHAWADI","GOA","RIVERWATER",28,7.1,11,1.65,0.07,22,33,2008,40,100,100,100,100,80,6.8,17,13,8.6,22,17.6,85,73.9834813841659
"1411","TUNGHABHADRA AT ULLANUR, KARNATAKA","KARNATAKA","RIVERWATER",28.8,8,470,2.6,0.44,18134.3000000001,50000,2011,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8,58.7130779004508
"1412","KATNI RIVER NEAR NAGAR NIGAM","MADHYAPRADESH","RIVERWATER",23.4,7.6,435,2.8,2,5,53,2013,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4,76.2526372262976
"1413","KATHAJODI AT CUTTACK D/S, ORISSA","ORISSA","RIVERWATER",28.2,7.92,192,3.5,0.53,18134.3000000001,50000,2009,40,100,60,80,100,0,6.8,17,10.4,5.16,22,0,61.36,59.1316328118207
"1414","CAUVERY AT VAIRAPALAYAM, NAMAKAL","TAMILNADU","RIVERWATER",26.9,7.8,399,1.9,0.21,169,352,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,73.5825666670643
"1415","NIRA AT D/S OF JUBILANT ORGANOSIS, PUNE.","MAHARASHTRA","RIVERWATER",27.3,8.1,767,7.8,0.83,208,1613,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4,71.4105614581321
"1416","MAHANADI AT SAMBALPUR D/S","ORISSA","RIVERWATER",29.3,8.2,220,2.5,0.46,18134.3000000001,50000,2010,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,58.0801662173435
"1417","WELL AT MUSIRI","TAMILNADU","GROUNDWATER",30,7.4,1630,0.4,0.97,180,265,2010,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,72.038047246991
"1418","GOUR RIVER BHOGA DOOR, JABALPUR","MADHYAPRADESH","RIVERWATER",22.7,7.47,433,1.6,0.86,0,194,2009,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4,77.2148169377844
"1419","WELL OF BHOPAL SINGH, 24 Km. FROM PALI TOWN","RAJASTHAN","GROUNDWATER",23,8.46,20500,3.91,1.04,4,49,2009,60,100,0,80,100,80,10.2,17,10.4,0,22,17.6,77.2,73.6788266687625
"1420","BEHALA CALCUTTA, WB","WEST BENGAL","GROUNDWATER",29,7.6,903,0.9,0.55,40,85,2007,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,72.5183085354132
"1421","WAINGANGA A/ C WITH KANHAN","MAHARASHTRA","RIVERWATER",21.6,8,562,5.3,1.92,66,194,2011,60,100,0,80,100,60,10.2,17,10.4,0,22,13.2,72.8,76.5046862436465
"1422","WELL OF BIRMA RAM PATEL, SALAWAS, JODHPUR ","RAJASTHAN","GROUNDWATER",21.6,7.7,7200,3.6,0.35,4,12,2011,60,100,0,80,100,80,10.2,17,10.4,0,22,17.6,77.2,76.9246282064775
"1423","SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE","MAHARASHTRA","RIVERWATER",28,8.1,1907,4,0.55,46,115,2012,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,71.8868989451527
"1424","UMKHRAH RIVER AT DEMTHRING, SHILLONG","MEGHALAYA","RIVERWATER",18.4,7.2,401,21.8,19,18134.3000000001,50000,2013,80,100,0,60,100,0,13.6,17,7.8,0,22,0,60.4,62.9241189672039
"1425","MULA RIVER AT AUNDH BRIDGE, AUNDGAON.","MAHARASHTRA","RIVERWATER",27,7.9,414,21.8,0.2,284,1388,2008,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4,69.6201767939597
"1426","BHAVANI AT D/S OF BHAVANI SAGAR, SATHYAMANGALAM,
ERODE","TAMILNADU","RIVERWATER",24,6.8,145,0.7,0,120,240,2016,60,100,80,100,100,60,10.2,17,13,6.88,22,13.2,82.28,77.484399622168
"1427","MALPRABHA AT WATER ABSTR. PT. TO HUBLI,DHARWAR,KARNATAKA","KARNATAKA","RIVERWATER",26.8,8.1,298,1.7,3.37,504,1103,2013,40,100,40,100,100,40,6.8,17,13,3.44,22,8.8,71.04,72.8310183463354
"1428","RIVER ZUARI AT BORIM BRIDGE","GOA","RIVERWATER",29.7,6.9,64,3.8,0.5,18134.3000000001,50000,2014,40,100,100,80,100,0,6.8,17,10.4,8.6,22,0,64.8,59.5098505251485
"1429","M/S SPECIALTY SILICA LTD., MIA ALWAR AGRO FOOD PARK, ALWAR","RAJASTHAN","GROUNDWATER",32,7.2,880,1.4,0.78,4,14,2012,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,70.8232136603332
"1430","MAHANADI AT CUTTACK U/S","ORISSA","RIVERWATER",28.5,8,198,1.4,0.49,475,1023,2011,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,72.0111950482815
"1431","NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS","MEGHALAYA","RIVERWATER",17.7,6.9,68,3.1,4.9,197,463,2013,80,100,100,80,100,60,13.6,17,10.4,8.6,22,13.2,84.8,81.1599853240965
"1432","MAHANADI AT CUTTACK D/S, ORISSA","ORISSA","RIVERWATER",29.2,7.74,184,2.2,0.46,18134.3000000001,50000,2009,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,58.8959775739546
"1433","BRAHMANI AT U/S PANPOSH ","ORISSA","RIVERWATER",27.8,7.8,151,1.3,0.24,1138,1950,2010,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,72.6207760490388
"1434","VADODARA (INDUSTRIAL-NANDESARI)","GUJARAT","GROUNDWATER",28,7.9,2140,2.4,0.56,2,11,2006,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,72.4741206510459
"1435","GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM","ANDHRAPRADESH","RIVERWATER",20,7.7,331,0.6,0.26,4,1200,2011,80,100,0,100,100,40,13.6,17,13,0,22,8.8,74.4,78.8197856826235
"1436","BEAS AT MIRTHAL BRIDGE, GURDASPUR, PUNJAB","PUNJAB","RIVERWATER",16.4,7.6,139,0.4,3,76,325,2013,80,100,80,100,100,60,13.6,17,13,6.88,22,13.2,85.68,81.7067032673561
"1437","KUNDALIKA AT ROHA CITY, MAHARASHTRA","MAHARASHTRA","RIVERWATER",27.2,7.8,105,3.6,1,43,89,2013,40,100,80,80,100,60,6.8,17,10.4,6.88,22,13.2,76.28,73.1002674893897
"1438","B/W. - PRIMARY SCHOOL - RUDRAVELLI (V) , BIBINAGAR
(M), NALGONDA DIST.","ANDHRAPRADESH","GROUNDWATER",22,8,2035,2,0.5,6,40,2016,60,100,0,100,100,80,10.2,17,13,0,22,17.6,79.8,76.8181325452242
"1439","BSIRHAT MUNICIPALITY","WEST BENGAL","GROUNDWATER",29,8.25,2047,0.75,0.18,1,3,2009,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,71.5376592770583
"1440","TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI, TAMILNADU","TAMILNADU","RIVERWATER",25.7,6.6,159,2.4,0.2,11,41,2014,40,100,60,100,100,80,6.8,17,13,5.16,22,17.6,81.56,76.271984026012
"1441","WELL OF RAM CHARA DEWRA, VILLAGE- SANGARIA, JODHPUR, RAJASTHAN","RAJASTHAN","GROUNDWATER",24,8,9200,4.7,7.4,3,3,2015,60,100,0,80,100,100,10.2,17,10.4,0,22,22,81.6,73.8784038985322
"1442","MEENACHIL AT KIDANGOOR, KERALA","KERALA","RIVERWATER",27,7.2,57,0.6,0.46,2117,3558,2013,40,100,100,100,100,40,6.8,17,13,8.6,22,8.8,76.2,73.7978589181408
"1443","SAI AT UNNAO AFTER DRAIN OUTFALL, U.P.","UTTARPRADESH","RIVERWATER",25.5,8.2,475,3.1,1.24,3177,50000,2009,40,100,0,80,100,0,6.8,17,10.4,0,22,0,56.2,60.7012770220796
"1444","LARGI AT D/S, H.P.","HIMACHALPRADESH","RIVERWATER",12,7.3,204,0.3,1.4,5,52,2010,100,100,60,100,100,60,17,17,13,5.16,22,13.2,87.36,85.592673182953
"1445","CAUVERY AT KUMBAKONAM, THANJAVUR, TAMILNADU","TAMILNADU","RIVERWATER",24.3,8,375,1.8,0.24,1287,1965,2013,60,100,0,100,100,40,10.2,17,13,0,22,8.8,71,74.79266465926
"1446","BRAHMANI AT D/S PANPOSH, ORISSA","ORISSA","RIVERWATER",28,7.7,331,4.6,4.3,18134.3000000001,50000,2008,40,100,0,80,100,0,6.8,17,10.4,0,22,0,56.2,59.1409048867577
"1447","MUTHA AT SANGAM BRIDGE NEAR GANAPATHY GHAT.","MAHARASHTRA","RIVERWATER",26.3,7.7,429,16.9,0.96,290,1733,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4,71.1432617792673
"1448","GODAVARI RIVER--TAPOVAN","MAHARASHTRA","RIVERWATER",17,7.6,167,2.4,0.3,8,60,2015,80,100,60,100,100,60,13.6,17,13,5.16,22,13.2,83.96,81.1735823599701
"1449","BRAHMANI AT BHUBAN","ORISSA","RIVERWATER",28.7,7.9,150,1.7,0.66,2683,50000,2011,40,100,80,100,100,0,6.8,17,13,6.88,22,0,65.68,59.1007451667612
"1450","SHIMSHA AT D/S OF BRIDGE, HALAGUR","KARNATAKA","RIVERWATER",26,8.1,584,2.8,0.71,1435,2275,2012,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,73.0872703247546
"1451","GROUND WATER QUALITY
STATION SARDARNAGAR","UTTARPRADESH","GROUNDWATER",19,6.9,992,3.9,3.1,70,150,2016,80,100,0,80,100,60,13.6,17,10.4,0,22,13.2,76.2,80.2045271904801
"1452","BASPA AT U/S RESERVOIR BASPA PROJECT","HIMACHALPRADESH","RIVERWATER",9.3,8.1,143,0.1,1,25,76,2013,100,100,80,100,100,60,17,17,13,6.88,22,13.2,89.08,86.4472898927285
"1453","MANJRA AT D/S IN INTAKE POINT TO BIDAR CITY","ANDHRAPRADESH","RIVERWATER",27.4,7.5,627,2.4,0.5,344,895,2009,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,73.3959373880432
"1454","WELL AT AHMEDABAD, GUJARAT","GUJARAT","GROUNDWATER",28,7.2,1760,2,3.35,2,5,2007,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,73.4227510459406
"1455","BHOGDOI RIVER AT JORHAT ,ASSAM","ASSAM","RIVERWATER",23.8,7.1,131,2,1,670,1326,2013,60,100,80,100,100,40,10.2,17,13,6.88,22,8.8,77.88,76.6027623456263
"1456","SUBANSIRI AT GEREKAMUKH, ASSAM, (BEFORE CONFL. WITH BRAH.),ASSAM","ASSAM","RIVERWATER",16,6.6,71,1,0.1,730,910,2015,80,100,100,100,100,40,13.6,17,13,8.6,22,8.8,83,83.4461333228712
"1457","BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR VILLAGE,KARNATAKA","KARNATAKA","RIVERWATER",27,8.2,817,2.3,0.36,506,886,2007,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,72.6605383794771
"1458","GANGA AT TRIGHAT (GHAZIPUR), U.P","UTTARPRADESH","RIVERWATER",27.2,8.3,339,4.3,0.3,18134.3000000001,50000,2008,40,100,0,80,100,0,6.8,17,10.4,0,22,0,56.2,59.1665696891848
"1459","SUBARNAREKHA AT RAJGHAT NEAR BIHAR BORDER, ","ORISSA","RIVERWATER",26.3,7.9,276,1.6,0.48,1170,2075,2010,40,100,40,100,100,40,6.8,17,13,3.44,22,8.8,71.04,73.4652170601226
"1460","GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB","PUNJAB","RIVERWATER",23.3,7.2,636,9.7,4,1328,50000,2013,60,100,0,60,100,0,10.2,17,7.8,0,22,0,57,62.4602310708359
"1461","GODAVARI AT DHALEGAON, MAHARASHTRA","MAHARASHTRA","RIVERWATER",27,8.1,843,4.4,0.3,2,99,2014,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,72.6529110399494
"1462","WAINGANGA U/S OF ELLORA PAPER MILL.","MAHARASHTRA","RIVERWATER",22.5,8,495,5,1.24,69,186,2011,60,100,0,80,100,60,10.2,17,10.4,0,22,13.2,72.8,75.94879647996
"1463","KUNDLI RIVER AT KUNDLI/ SAPAKHOWA, SADIA.","ASSAM","RIVERWATER",20,7.3,176,2.6,0.13,90,273,2009,80,100,60,100,100,60,13.6,17,13,5.16,22,13.2,83.96,79.3326146482835
"1464","CHAITRAPUZHA IRUMPANAM, KERALA","KERALA","RIVERWATER",28,6.3,841,2,1.07,430,913,2009,40,80,0,100,100,40,6.8,13.6,13,0,22,8.8,64.2,74.7562084698181
"1465","BHANDEWARI, NAGPUR","MAHARASHTRA","GROUNDWATER",29,7.9,1324,5.8,1.85,188,535,2007,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65,70.9763230940249
