"","LOCATIONS","STATE","WATERTYPE","TEMPERATURE(c)","pH","CONDUCTIVITY(µmhos/cm)","B.O.D(mg/l)","NITRATE","FECALCOLIFORM(MPN/100ml)","TOTALCOLIFORM(MPN/100ml)","YEAR","nTemp","npH","nCon","nBod","nNit","nColi","WTemp","Wph","WBod","WCon","WNit","WColi","WQI","predictWQI"
"485","NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT","WEST BENGAL","RIVERWATER",27.4,7.9,353,3.3,0.7,18134.3000000001,50000,2014,40,100,0,80,100,0,6.8,17,10.4,0,22,0,56.2,59.7619707916836
"486","GANGA AT GARDEN REACH, WEST BENGAL","WEST BENGAL","RIVERWATER",26.4,8.1,322,3.2,0.7,18134.3000000001,50000,2014,40,100,0,80,100,0,6.8,17,10.4,0,22,0,56.2,60.2194157760105
"487","YAMUNA AT SHAHPUR","UTTARPRADESH","RIVERWATER",25.3,7.5,281,7,0,18134.3000000001,50000,2014,40,100,40,60,100,0,6.8,17,7.8,3.44,22,0,57.04,61.3162175709495
"488","RAMGANGA AT KANNAUJ (BEFORE CONF.),U.P","UTTARPRADESH","RIVERWATER",26.9,8,391,4.1,0.3,2800,50000,2014,40,100,0,80,100,0,6.8,17,10.4,0,22,0,56.2,59.8668274088842
"489","GOMTI AT SITAPUR U/S AT WATER INTAKE, U.P.","UTTARPRADESH","RIVERWATER",25.8,8.1,392,2.7,1.3,631,1879,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,73.3284097618874
"490","GOMTI AT LUCKNOW D/S, U.P.","UTTARPRADESH","RIVERWATER",25,7.6,568,9.5,4,18134.3000000001,50000,2014,60,100,0,60,100,0,10.2,17,7.8,0,22,0,57,60.6502068492249
"491","GOMTI AT VARANASI, U.P","UTTARPRADESH","RIVERWATER",22.9,8.1,306,3,0,18134.3000000001,50000,2014,60,100,0,100,100,0,10.2,17,13,0,22,0,62.2,62.8826595907465
"492","GHAGHRA AT BARHALGANJ, GORAKHPUR","UTTARPRADESH","RIVERWATER",21.6,8.1,529,3.4,0.4,583,1177,2014,60,100,0,80,100,40,10.2,17,10.4,0,22,8.8,68.4,76.5376006136501
"493","SONE RIVER NEAR BANZARI","BIHAR","RIVERWATER",19,7.6,250,2.1,0,710,1567,2014,80,100,40,100,100,40,13.6,17,13,3.44,22,8.8,77.84,79.3722955830166
"494","GANDAK AT REWAGHAT, MUJAFFARPUR","BIHAR","RIVERWATER",23,8.1,247,1.8,0,527,1305,2014,60,100,40,100,100,40,10.2,17,13,3.44,22,8.8,74.44,75.8001757499641
"495","GANDAK RIVER U/S ROAD BRIDGE MUZAFFARPUR (NH)","BIHAR","RIVERWATER",23.1,8.1,269,2,0,769,1655,2014,60,100,40,100,100,40,10.2,17,13,3.44,22,8.8,74.44,75.5982314147047
"496","GANDAK RIVER GOPALGANJ - PIPRAKOTHI ROAD BRIDGE (DUMARIA GHAT)","BIHAR","RIVERWATER",23.8,7.4,346,2,0,532,1180,2014,60,100,0,100,100,40,10.2,17,13,0,22,8.8,71,76.2475125802419
"497","BURHI GANDAK AT AKHARAGHAT, MUZAFFARPUR","BIHAR","RIVERWATER",23.3,8,290,2.4,0,1350,3250,2014,60,100,40,100,100,40,10.2,17,13,3.44,22,8.8,74.44,75.1105684571466
"498","HARBORA RIVER AT NARKATIAGANJ","BIHAR","RIVERWATER",24.1,7.2,370,4.7,0,1700,50000,2014,60,100,0,80,100,0,10.2,17,10.4,0,22,0,59.6,63.0425819609431
"499","KAMALA RIVER AT BENIPATTI (MADHUBANI)","BIHAR","RIVERWATER",18.5,8.1,338,2.1,0,500,950,2014,80,100,0,100,100,40,13.6,17,13,0,22,8.8,74.4,79.1490617212308
"500","KAMALA RIVER AT JAYNAGAR","BIHAR","RIVERWATER",18,8.2,340,2,0,500,900,2014,80,100,0,100,100,40,13.6,17,13,0,22,8.8,74.4,79.3983435237168
"501","DAHA AT SIWAM","BIHAR","RIVERWATER",23.7,7.8,326,2.4,0,1500,2983,2014,60,100,0,100,100,40,10.2,17,13,0,22,8.8,71,75.1821933890869
"502","PUNPUN RIVER NEAR KINZER ROAD BRIDGE","BIHAR","RIVERWATER",21,7.9,289,2.1,0,600,1650,2014,60,100,40,100,100,40,10.2,17,13,3.44,22,8.8,74.44,77.4262998019924
"503","GIRI AT U/S CCI MINES","HIMACHALPRADESH","RIVERWATER",21.9,7.6,508,1.1,0.4,8,17,2014,60,100,0,100,100,80,10.2,17,13,0,22,17.6,79.8,77.770292263767
"504","PABBAR AT U/S DHAMBARI","HIMACHALPRADESH","RIVERWATER",10.5,6.9,82,0.2,0.3,4,8,2014,100,100,80,100,100,80,17,17,13,6.88,22,17.6,93.48,87.410323755491
"505","CHAMBAL AT KOTA D/S (2 KM. FROM CITY),RAJASTHAN","RAJASTHAN","RIVERWATER",26.6,8.4,546,2,0.6,13,642,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,72.7754850412605
"506","CHAMBAL AT RAMESHWARGHAT NR. SAWAIMADHOPUR, RAJASTHAN","RAJASTHAN","RIVERWATER",24.7,8.2,608,1.3,0.7,4,14,2014,60,100,0,100,100,80,10.2,17,13,0,22,17.6,79.8,74.7490138113706
"507","BICHIA, BRIDGE GOVINDGARH ROAD","MADHYAPRADESH","RIVERWATER",26.3,7.6,607,5.2,3.3,48,633,2014,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65,73.4423376782158
"508","DAMODAR NEAR MUJHER MANA VILLAGE AFTER CONF. OF TAMLA NALLAH, WEST BENGAL","WEST BENGAL","RIVERWATER",29.3,7.8,451,3.5,2.9,18134.3000000001,50000,2014,40,100,0,80,100,0,6.8,17,10.4,0,22,0,56.2,58.3152702182551
"509","CHURNI D/S OF SANTIPUR TOWN, WEST BENGAL","WEST BENGAL","RIVERWATER",28.6,7.7,563,6.4,0.9,18134.3000000001,50000,2014,40,100,0,60,100,0,6.8,17,7.8,0,22,0,53.6,58.6074627503947
"510","D/S OF KANSI AT MIDNAPORE, NEAR NEW HANUMAN MANDIR, GANDHIGHAT","WEST BENGAL","RIVERWATER",30.5,7.3,207,2.6,0.2,18134.3000000001,50000,2014,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,58.5427218550582
"511","BRAHAMPUTRA AT KHERGHAT (AFTER CONFL. WITH DIBANG & DIHANG),ASSAM","ASSAM","RIVERWATER",22.3,7.1,216,1.5,1.4,146,50000,2014,60,100,60,100,100,0,10.2,17,13,5.16,22,0,67.36,64.9881483602184
"512","BRAHAMPUTRA AT NIMATIGHAT, ASSAM","ASSAM","RIVERWATER",25.1,7,273,1.5,2.5,585,50000,2014,40,100,40,100,100,0,6.8,17,13,3.44,22,0,62.24,62.993666940053
"513","BRAHMPUTRA RIVER AT DHENUKHAPAHAR, ASSAM","ASSAM","RIVERWATER",24.3,7,298,1.3,1.7,18134.3000000001,50000,2014,60,100,40,100,100,0,10.2,17,13,3.44,22,0,65.64,63.6721897155497
"514","BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE, ASSAM","ASSAM","RIVERWATER",27.7,7.3,295,1.1,1.9,444,50000,2014,40,100,40,100,100,0,6.8,17,13,3.44,22,0,62.24,60.7406007553593
"515","BRAHMAPUTRA RIVER AT CHANDRAPUR, GUWAHATI","ASSAM","RIVERWATER",25.8,7.1,168,1.6,0.4,1653,50000,2014,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,62.4664689160434
"516","KHARSANG BEFORE CONFLUENCE WITH BURIDIHING NEAR KHARSANG (ASSAM-ARUNANCHAL BORDER)","ASSAM","RIVERWATER",24,7.3,225,1.2,0.9,2003,50000,2014,60,100,60,100,100,0,10.2,17,13,5.16,22,0,67.36,63.5239051870963
"517","BURHIDIHING RIVER AT DULIAJAN (INTAKE POINT OF OIL INDIA LTD.)","ASSAM","RIVERWATER",20.3,7.3,304,0.9,1.1,90,2990,2014,60,100,0,100,100,40,10.2,17,13,0,22,8.8,71,78.6173845401707
"518","KOLONG RIVER AT MARIGAON","ASSAM","RIVERWATER",29.8,6.8,99,1.9,0.8,685,3355,2014,40,100,80,100,100,40,6.8,17,13,6.88,22,8.8,74.48,72.1328803720552
"519","JHANJI AT N.H. CROSSING JORHAT, ASSAM","ASSAM","RIVERWATER",24.5,7.1,248,1.6,1,180,50000,2014,60,100,40,100,100,0,10.2,17,13,3.44,22,0,65.64,63.3760359716154
"520","DEEPAR BILL, ASSAM*","ASSAM","RIVERWATER",25.5,6.9,331,3.2,2.2,1023,50000,2014,40,100,0,80,100,0,6.8,17,10.4,0,22,0,56.2,62.5691272406978
"521","NARMADA AT MANDLA NEAR ROAD BDG. M.P.","MADHYAPRADESH","RIVERWATER",23.3,7.7,325,4.1,1,4,66,2014,60,100,0,80,100,60,10.2,17,10.4,0,22,13.2,72.8,76.0252693294266
"522","NARMADA AT D S OF OMKARESHWAR M.P.","MADHYAPRADESH","RIVERWATER",25.7,7.8,335,1.2,1.2,4,123,2014,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,74.5835804687646
"523","NARMADA AT PANCHWATIGHAT, BEFORE MIXING WITH BAWANGANGA RIVER, JABALPUR","MADHYAPRADESH","RIVERWATER",23.3,7.3,336,2.5,0.8,8,86,2014,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4,76.909664570059
"524","GOUR RIVER BHOGA DOOR, JABALPUR","MADHYAPRADESH","RIVERWATER",23.4,7.7,375,3,0.8,19,306,2014,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4,76.0907046312052
"525","TAPI AT UPHAD VILLAGE, MAHARASHTRA","MAHARASHTRA","RIVERWATER",24.5,8,354,4.3,1.4,48,160,2014,60,100,0,80,100,60,10.2,17,10.4,0,22,13.2,72.8,74.6034188355831
"526","TAPI AT HATHNUR M.P.","MADHYAPRADESH","RIVERWATER",26,8.3,817,2.1,10.4,7,510,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,72.6755338779405
"527","RIVER TAPTI AT NEPA NAGAR 100 METRE D/S  AFTER MIXING PANDHAR NALLA","MADHYAPRADESH","RIVERWATER",25.8,8.1,515,1.5,2.1,11,292,2014,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,73.8887450853988
"528","PEDHI RIVER NEAR ROAD BRIDGE AT DADHI-PEDHI VILLAGE, BHATKULI, AMRAVATI","MAHARASHTRA","RIVERWATER",24.1,8.3,846,13.5,7.2,396,544,2014,60,100,0,60,100,40,10.2,17,7.8,0,22,8.8,65.8,72.3027588168028
"529","MAHANADI AT HIRAKUD RESERVOIR, ORISSA","ORISSA","RIVERWATER",27.8,7.9,191,0.7,0.6,1168,3879,2014,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,72.0415142514786
"530","MAHANADI AT SAMBALPUR D/S, ORISSA","ORISSA","RIVERWATER",28.3,8,209,2.7,0.7,18134.3000000001,50000,2014,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,59.0646453143041
"531","MAHANADI AFTER CONFL. WITH R.TEL (SONEPUR D/S),ORISSA","ORISSA","RIVERWATER",30,8.1,222,1,0.6,896,2717,2014,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,70.3726166794004
"532","CUTTACK FDS (SERUA) AT SANKHATRASA","ORISSA","RIVERWATER",26.6,7.7,241,4,1.4,18134.3000000001,50000,2014,40,100,40,80,100,0,6.8,17,10.4,3.44,22,0,59.64,60.4870310690137
"533","POWER CHANNEL D/S NEAR BURLA","ORISSA","RIVERWATER",27.7,7.8,200,0.8,0.7,1574,3046,2014,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,72.4580563781963
"534","PARADEEP U/S (BEFORE INDUSTRIAL ACTIVITY AT PARADEEP)","ORISSA","RIVERWATER",27.9,7.9,4053,1.3,1,18134.3000000001,50000,2014,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8,59.4520621607216
"535","DAYA AT BHUBANESWAR FU/S","ORISSA","RIVERWATER",27.6,8.1,187,1,0.4,2228,50000,2014,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,59.7497148832378
"536","DAYA AT BHUBANESWAR FD/S ( 2 KM AFTER CONFLUENCE OF GANGUA NALLAH WITH RIVER DAYA)","ORISSA","RIVERWATER",27.7,7.7,246,3.6,3,18134.3000000001,50000,2014,40,100,40,80,100,0,6.8,17,10.4,3.44,22,0,59.64,59.6336580744079
"537","SANKHA U/S ( D/S OF MANDIRA DAM)","ORISSA","RIVERWATER",25.4,7.8,151,0.9,0.7,2178,50000,2014,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,61.8173654096918
"538","TEL","ORISSA","RIVERWATER",30.1,8.2,175,0.9,0.5,710,1851,2014,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,70.4046632794856
"539","BRAHMANI AT U/S PANPOSH, ORISSA","ORISSA","RIVERWATER",26.4,7.8,157,0.7,0.8,18134.3000000001,50000,2014,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,61.1081643532955
"540","BRAHMANI AT D/S PANPOSH, ORISSA","ORISSA","RIVERWATER",25.8,7.7,288,4.7,3.7,18134.3000000001,50000,2014,40,100,40,80,100,0,6.8,17,10.4,3.44,22,0,59.64,60.7892596023947
"541","BRAHMANI AT ROURKELA D/S, ORISSA","ORISSA","RIVERWATER",26.2,7.6,250,3.9,2.9,18134.3000000001,50000,2014,40,100,40,80,100,0,6.8,17,10.4,3.44,22,0,59.64,60.8424063887899
"542","ROURKELA FDS AT BIRITOLA","ORISSA","RIVERWATER",26,8,208,2.8,1.4,18134.3000000001,50000,2014,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,60.69223077318
"543","BRAHMANI AT SAMAL, ORISSA","ORISSA","RIVERWATER",27,7.5,169,1,0.8,2707,50000,2014,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,61.0612942063114
"544","TALCHER FU/S (INTAKE WELL OF MCL, TALCHER)","ORISSA","RIVERWATER",29.7,7.9,147,0.6,0.6,18134.3000000001,50000,2014,40,100,80,100,100,0,6.8,17,13,6.88,22,0,65.68,58.5602473295662
"545","TALCHER FD/S","ORISSA","RIVERWATER",29.9,8,173,1.1,0.8,1973,50000,2014,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,58.1604644848803
"546","BRAHMANI AT KAMALANGA, ORISSA","ORISSA","RIVERWATER",30.3,8,172,1.5,1,18134.3000000001,50000,2014,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,57.7821569846091
"547","BRAHMANI AT BHUBAN, ORISSA","ORISSA","RIVERWATER",29.2,8.1,153,0.7,0.4,1525,50000,2014,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,58.6259243550277
"548","BAITARNI AT JAJPUR ORISSA","ORISSA","RIVERWATER",27.3,8,176,1.7,0.8,18134.3000000001,50000,2014,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,59.9708222013979
"549","GODAVARI AT U/S OF GANGAPUR DAM,NASIK,MAHARASHTRA","MAHARASHTRA","RIVERWATER",22.3,8.1,275,3.2,0.8,31,98,2014,60,100,40,80,100,60,10.2,17,10.4,3.44,22,13.2,76.24,76.3303241347148
"550","GODAVARI RIVER AT U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE.","MAHARASHTRA","RIVERWATER",28.3,8.1,843,4.4,0.1,2,80,2014,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,71.7143987453864
"551","GODAVARI AT NANDED, MAHARASHTRA","MAHARASHTRA","RIVERWATER",29.2,7.9,1054,4,0.2,3,129,2014,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,71.3847523390206
"552","GODAVARI AT RAHER, MAHARASHTRA","MAHARASHTRA","RIVERWATER",29.2,8.1,995,4,0.3,2,95,2014,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,71.0921221381022
"553","GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM","ANDHRAPRADESH","RIVERWATER",20.4,7.9,425,0.6,0.4,2,1488,2014,60,100,0,100,100,40,10.2,17,13,0,22,8.8,71,78.1340942742415
"554","GODAVARI AT POLAVARAM, A.P.","ANDHRAPRADESH","RIVERWATER",27.3,8,320,2.6,0.5,5,52,2014,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,72.9312452190962
"555","GODAVARI AT RAJAMUNDRY D/S OF NALLA CHANNEL","ANDHRAPRADESH","RIVERWATER",25.9,7.4,340,1.1,0.5,45,1263,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,74.8010076933142
"556","WARDHA RIVER AT D/S OF ERAI RIVER, HADASTI, CHANDRAPUR.","MAHARASHTRA","RIVERWATER",26.1,8.1,369,11.3,1.1,140,220,2014,40,100,0,60,100,60,6.8,17,7.8,0,22,13.2,66.8,72.0601561945454
"557","WARDHA RIVER AT U/S OF ERAI RIVER, HADASTI, CHANDRAPUR.","MAHARASHTRA","RIVERWATER",24.9,8.2,403,8.9,1,90,130,2014,60,100,0,60,100,60,10.2,17,7.8,0,22,13.2,70.2,73.2409619856788
"558","WAINGANGA AT ASHTI, MAHARASHTRA","MAHARASHTRA","RIVERWATER",24.1,8.2,366,8.6,0.9,170,280,2014,60,100,0,60,100,60,10.2,17,7.8,0,22,13.2,70.2,73.8528524056925
"559","KOLAR BEFORE CONFLUENCE TO KANHAN AT KAMPTEE","MAHARASHTRA","RIVERWATER",24.1,8.2,607,10.4,2.9,114,193,2014,60,100,0,60,100,60,10.2,17,7.8,0,22,13.2,70.2,73.4039801541369
"560","KANHAN D/S OF NAGPUR","MAHARASHTRA","RIVERWATER",33.8,8.2,477,10.5,6.7,131,221,2014,40,100,0,60,100,60,6.8,17,7.8,0,22,13.2,66.8,65.9767301266751
"561","KANHAN RIVER U/S OF M/S VIDHARBHA PAPER MILL, SINORA.","MAHARASHTRA","RIVERWATER",24.4,8.2,534,10.1,2.7,103,157,2014,60,100,0,60,100,60,10.2,17,7.8,0,22,13.2,70.2,73.2640845161188
"562","KANHAN RIVER D/S OF M/S VIDHARBHA PAPER MILL, SINORA.","MAHARASHTRA","RIVERWATER",24.9,8.2,523,11.1,2.7,140,222,2014,60,100,0,60,100,60,10.2,17,7.8,0,22,13.2,70.2,72.7053118298485
"563","NIRA AT PULGAON COTTON MILL, WARDHA, MAHARASHTRA","MAHARASHTRA","RIVERWATER",31.6,8.3,435,9.7,2.5,152,231,2014,40,100,0,60,100,60,6.8,17,7.8,0,22,13.2,66.8,67.8828206579315
"564","KINNERASANI A/C OF KTPS ASH POND EFFLUENTS, KHAMMAM","ANDHRAPRADESH","RIVERWATER",21.6,7.5,469,0.8,0.5,2,1100,2014,60,100,0,100,100,40,10.2,17,13,0,22,8.8,71,77.9045622071008
"565","DARNA RIVER AT MES SITE PUMPING STATION, BHAGUR, NASHIK.","MAHARASHTRA","RIVERWATER",21.9,8,247,3.7,1.1,39,104,2014,60,100,40,80,100,60,10.2,17,10.4,3.44,22,13.2,76.24,76.6666248693219
"566","DARNA RIVER AT BHAGUR PUMPING STATION NEAR PANDHURLI BRIDGE, BHAGUR, NASHIK.","MAHARASHTRA","RIVERWATER",22.7,8.1,244,3.6,1,44,117,2014,60,100,40,80,100,60,10.2,17,10.4,3.44,22,13.2,76.24,75.9492118782791
"567","KRISHNA AT MAHABALESHWAR DHOM DAM NEAR KOINA DAM,MAHARASHTRA","MAHARASHTRA","RIVERWATER",23.1,8.1,160,3.1,2.9,15,387,2014,60,100,60,80,100,60,10.2,17,10.4,5.16,22,13.2,77.96,75.5434026900262
"568","KRISHNA RIVER AT KRISHNA-VENNA SANGAM AT MAHULI.","MAHARASHTRA","RIVERWATER",22,8.3,458,4.6,2.3,191,1481,2014,60,100,0,80,100,40,10.2,17,10.4,0,22,8.8,68.4,75.5269289438837
"569","KRISHNA AT U/S OF UGARKHURD BARRAGE,KARNATAKA","KARNATAKA","RIVERWATER",29,8,685,2.1,2.3,780,1390,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,71.2620192559637
"570","KRISHNA - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD","KARNATAKA","RIVERWATER",28,8,808,1.8,2.1,890,1460,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,72.0376154112705
"571","KRISHNA AT D/S OF NARAYANPURA DAM,KARNATAKA","KARNATAKA","RIVERWATER",29.3,8.3,521,1.5,0.4,518,1110,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,70.9163041866449
"572","BHIMA AT PUNE U/S VITHALWADI, MAHARASHTRA","MAHARASHTRA","RIVERWATER",26.3,7.9,453,7.5,2.2,202,1468,2014,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4,72.4628043618262
"573","BHIMA AT PUNE, D/S OF BUNDGARDEN,MAHARASHTRA","MAHARASHTRA","RIVERWATER",27.1,7.7,424,13.7,3.1,386,1800,2014,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4,70.943884843864
"574","BHIMA AT TAKLI, MAHARASHTRA","MAHARASHTRA","RIVERWATER",29.1,8.2,1010,5.1,2.3,164,1529,2014,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65,70.3067712714825
"575","BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR VILLAGE,KARNATAKA","KARNATAKA","RIVERWATER",27.3,8.4,949,3.8,0.3,1483,1600,2014,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65,71.6866773906459
"576","BHIMA AT D/S OF BDG. NEAR YADGIR,KARNATAKA","KARNATAKA","RIVERWATER",29.6,8.1,834,2.1,0.2,1183,1600,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,70.752331538975
"577","BHIMA RIVER AT CONFLUENCE OF JEWARGI TOWN SEWAGE DISPOSAL POINT","KARNATAKA","RIVERWATER",29.2,8.4,874,3,0.3,1033,1483,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,70.4627072396685
"578","MALPRABHA AT WATER ABSTR. PT. TO HUBLI,DHARWAR,KARNATAKA","KARNATAKA","RIVERWATER",28.5,7.7,371,1.2,0.6,620,1080,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,72.4589932150581
"579","MALPRABHA AT D/S OF AIHOLE TOWN, KARNATAKA","KARNATAKA","RIVERWATER",28.5,8,1004,3.3,2.1,740,1390,2014,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65,71.4121062005304
"580","TUNGABHADRA AT D/S OF HPF, KARNATAKA","KARNATAKA","RIVERWATER",27,7.9,536,6,0.4,179,386,2014,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,72.6129419711658
"581","TUNGABHADRA AT HARIHAR WATER SUPPLY INTAKE, KARNATAKA","KARNATAKA","RIVERWATER",26.5,8,383,3.6,0.2,129,279,2014,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,73.30322512008
"582","TUNGABHADRA AT D/S OF GANGAWATHI, KARNATAKA","KARNATAKA","RIVERWATER",29.8,8.1,448,1.9,0.2,808,1425,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,70.7138427056322
"583","TUNGHABHADRA AT MANTHRALAYAM , KURNOOL DIST., A.P","ANDHRAPRADESH","RIVERWATER",27,8.2,999,3,3.1,23,620,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,72.4025608782953
"584","BHADRA AT U/S OF KIOCL, KARNATAKA","KARNATAKA","RIVERWATER",21.5,7.4,185,1,0.1,532,2064,2014,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16,77.8885842737569
"585","PALLERU BEFORE CONFL. WITH KRISHNA, JAGGAYYAPET, A.P.","ANDHRAPRADESH","RIVERWATER",25.5,8,838,0.9,0.6,2,1450,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,74.1417459858906
"586","MUNERU BEFORE CONFL. WITH KRISHNA, NANDIGAMA, A.P.","ANDHRAPRADESH","RIVERWATER",24,8.3,905,0.7,0.5,2,1400,2014,60,100,0,100,100,40,10.2,17,13,0,22,8.8,71,74.848522538346
"587","PENNAR AFTER CONF. WITH PAPAGNI,PUSPAGINI,A.P.","ANDHRAPRADESH","RIVERWATER",32.1,8,890,2.6,2.3,24,504,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,69.1090926618427
"588","PENNAR AT SIDDVATA, NELLORE, A.P.","ANDHRAPRADESH","RIVERWATER",30.2,8.1,774,2.2,2.1,14,528,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,70.4450736910341
"589","CAUVERY AT NAPOKULU BDG (D/S), KARNATAKA","KARNATAKA","RIVERWATER",25,7.1,56,1,0,135,570,2014,60,100,100,100,100,40,10.2,17,13,8.6,22,8.8,79.6,76.1672086849175
"590","CAUVERY AT KUSHAL NAGAR U/S (NEAR BAICHANAHALLI), KARNATAKA","KARNATAKA","RIVERWATER",25.3,7.5,93,1,0.1,181,850,2014,40,100,80,100,100,40,6.8,17,13,6.88,22,8.8,74.48,75.2654175495779
"591","CAUVERY AT KRS DAM,BALAMURIKSHETRA,KARNATAKA","KARNATAKA","RIVERWATER",27.1,8.2,220,1.5,0.2,287,1202,2014,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,72.6979873607493
"592","CAUVERY AT SATHYAGALAM BRIDGE, KARNATAKA","KARNATAKA","RIVERWATER",27.5,7.7,333,2,0.3,491,1892,2014,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,72.8669699774415
"593","CAUVERY AT RANGANATHITTU, KARNATAKA","KARNATAKA","RIVERWATER",26.7,8,241,1.8,0.2,611,2500,2014,40,100,40,100,100,40,6.8,17,13,3.44,22,8.8,71.04,72.8970361520589
"594","CAUVERY AT METTUR, TAMIL NADU","TAMILNADU","RIVERWATER",26.8,8.1,388,1.3,0.2,18134.3000000001,50000,2014,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8,60.2861574461127
"595","CAUVERY AT VELORE NEAR KATTIPALAYAM, TAMILNADU","TAMILNADU","RIVERWATER",27.3,8.4,541,2.2,0.2,18134.3000000001,50000,2014,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8,59.3017225890202
"596","CAUVERY AT MOHANUR NEAR PATTAIPALAYAM, TAMILNADU","TAMILNADU","RIVERWATER",26.9,8.3,541,1.8,0.2,18134.3000000001,50000,2014,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8,59.8154514304399
"597","CAUVERY AT PETTAIVAITHALAI, TRICHY, TAMILNADU","TAMILNADU","RIVERWATER",25,8.3,575,1.3,0.2,18134.3000000001,50000,2014,60,100,0,100,100,0,10.2,17,13,0,22,0,62.2,61.2995966684484
"598","CAUVERY AT TIRUCHIRAPPALLI D/S, TAMILNADU","TAMILNADU","RIVERWATER",23.9,8,829,5.5,0.7,18134.3000000001,50000,2014,60,100,0,80,100,0,10.2,17,10.4,0,22,0,59.6,61.7726985182497
"599","CAUVERY AT TRICHY,GRAND ANAICUT, TAMILNADU","TAMILNADU","RIVERWATER",23.9,8.2,728,3.7,0.2,18134.3000000001,50000,2014,60,100,0,80,100,0,10.2,17,10.4,0,22,0,59.6,61.8299783021715
"600","ARKAVATHI AT D/S OF KANAKAPURA TOWN, KARNATAKA","KARNATAKA","RIVERWATER",27,7.3,1560,7.3,9.1,56,788,2014,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4,72.4914531317151
"601","ARKAVATHI AT T.G. HALLI RESERVOIR, , KARNATAKA","KARNATAKA","RIVERWATER",29.4,7.7,1049,4.3,1.3,46,1012,2014,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65,71.1753241582027
